Name;URL;Pattern;Difficulty;Premium;Companies
Count Unique Characters of All Substrings of a Given String;https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/;Sliding Window,Sliding Window;Hard;false;Amazon,Amazon
Minimum Number of K Consecutive Bit Flips;https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/;Sliding Window,Sliding Window;Hard;false;Adobe,Adobe
Sliding Window Maximum;https://leetcode.com/problems/sliding-window-maximum/;Sliding Window,Sliding Window;Hard;false;Amazon,Facebook,Goldman Sachs,Citadel,Google,Uber,Microsoft,Salesforce,Apple,Twitter,Atlassian,Atlassian
Count of Range Sum;https://leetcode.com/problems/count-of-range-sum/;Binary Search,Binary Search;Hard;false;Google,Google
Employee Free Time;https://leetcode.com/problems/employee-free-time/;Heap,Heap,Greedy,Greedy;Hard;true;Pinterest,Amazon,Airbnb,Snapchat,Google,Facebook,Apple,Oracle,Uber,Uber
Smallest Range Covering Elements from K Lists;https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/;Heap,Heap;Hard;false;Google,Amazon,Microsoft,Pinterest,Pinterest
Trapping Rain Water;https://leetcode.com/problems/trapping-rain-water/;Two Pointers,Two Pointers;Hard;false;Facebook,Amazon,Goldman Sachs,Microsoft,Adobe,Google,Bloomberg,Qualtrics,Snapchat,Lyft,Uber,Apple,Citadel,Tesla,Tesla
Merge k Sorted Lists;https://leetcode.com/problems/merge-k-sorted-lists/;Heap,Heap;Hard;false;Facebook,Amazon,Microsoft,Google,Apple,Bloomberg,Adobe,Uber,Qualtrics,Oracle,Oracle
Reverse Nodes in k-Group;https://leetcode.com/problems/reverse-nodes-in-k-group/;In-place reversal of a linked list,In-place reversal of a linked list;Hard;false;Capital One,Microsoft,Amazon,Google,Facebook,Snapchat,Oracle,Oracle
N-Queens;https://leetcode.com/problems/n-queens/;Backtracking,Backtracking;Hard;false;Amazon,Microsoft,Apple,Facebook,Uber,Goldman Sachs,Adobe,Adobe
Sudoku Solver;https://leetcode.com/problems/sudoku-solver/;Backtracking,Backtracking;Hard;false;Google,Intuit,Amazon,Apple,Uber,Bloomberg,Bloomberg
Concatenated Words;https://leetcode.com/problems/concatenated-words/;Trie,Trie;Hard;false;Amazon,Microsoft,Microsoft
Prefix and Suffix Search;https://leetcode.com/problems/prefix-and-suffix-search/;Trie,Trie;Hard;false;Google,Google
Palindrome Pairs;https://leetcode.com/problems/palindrome-pairs/;Trie,Trie;Hard;false;Airbnb,Facebook,Google,Google
Design Search Autocomplete System;https://leetcode.com/problems/design-search-autocomplete-system/;Trie,Trie;Hard;true;Amazon,Google,Microsoft,Uber,Bloomberg,Twitter,Twitter
Word Squares;https://leetcode.com/problems/word-squares/;Trie,Trie;Hard;true;Bloomberg,Oracle,Google,Google
Sort Items by Groups Respecting Dependencies;https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/;DFS,DFS,Graph,DFS,DFS,Graph,Topological Sort,Topological Sort;Hard;false;Apple,Apple
Median of Two Sorted Arrays;https://leetcode.com/problems/median-of-two-sorted-arrays/;Binary Search,Binary Search;Hard;false;Amazon,Goldman Sachs,Microsoft,Google,Adobe,Facebook,Apple,Bloomberg,Oracle,Oracle
First Missing Positive;https://leetcode.com/problems/first-missing-positive/;Arrays,Arrays;Hard;false;Amazon,Microsoft,Facebook,Google,Adobe,Apple,Apple
Sliding Window Median;https://leetcode.com/problems/sliding-window-median/;Heap,Heap;Hard;false;Facebook,Amazon,Amazon
