Name;URL;Pattern;Difficulty;Premium;Companies
Longest Increasing Subsequence;https://leetcode.com/problems/longest-increasing-subsequence/;Dynamic Programming,Dynamic Programming;Medium;false;Google,Amazon,Facebook,Microsoft,Apple,Bloomberg,Bloomberg
Longest Palindromic Substring;https://leetcode.com/problems/longest-palindromic-substring/;Dynamic Programming,Dynamic Programming;Medium;false;Amazon,Microsoft,Adobe,Apple,Facebook,Google,Oracle,Salesforce,Bloomberg,LinkedIn,Tesla,Tesla
Word Break;https://leetcode.com/problems/word-break/;Dynamic Programming,Dynamic Programming;Medium;false;Facebook,Amazon,Microsoft,Uber,Apple,Bloomberg,Qualtrics,Adobe,Google,Snapchat,Salesforce,Salesforce
Combination Sum IV;https://leetcode.com/problems/combination-sum-iv/;Dynamic Programming,Dynamic Programming;Medium;false;Google,Amazon,Facebook,Facebook
Decode Ways;https://leetcode.com/problems/decode-ways/;Dynamic Programming,Dynamic Programming;Medium;false;Amazon,Google,Snapchat,Lyft,Goldman Sachs,Microsoft,Bloomberg,JPMorgan,JPMorgan
Unique Paths;https://leetcode.com/problems/unique-paths/;Dynamic Programming,Dynamic Programming;Medium;false;Google,Facebook,Amazon,Apple,Microsoft,Bloomberg,Bloomberg
Jump Game;https://leetcode.com/problems/jump-game/;Dynamic Programming,Dynamic Programming,Greedy,Greedy;Medium;false;Amazon,Facebook,Uber,Oracle,Adobe,Microsoft,Bloomberg,Bloomberg
Palindromic Substrings;https://leetcode.com/problems/palindromic-substrings/;Dynamic Programming,Dynamic Programming;Medium;false;Facebook,Microsoft,Google,Goldman Sachs,Goldman Sachs
Number of Longest Increasing Subsequence;https://leetcode.com/problems/number-of-longest-increasing-subsequence/;Dynamic Programming,Dynamic Programming;Medium;false;Amazon,Google,Google
Partition Equal Subset Sum;https://leetcode.com/problems/partition-equal-subset-sum/;Dynamic Programming,Dynamic Programming;Medium;false;Facebook,Google,Amazon,Microsoft,Uber,Apple,Bloomberg,Bloomberg
Partition to K Equal Sum Subsets;https://leetcode.com/problems/partition-to-k-equal-sum-subsets/;Dynamic Programming,Dynamic Programming;Medium;false;LinkedIn,Facebook,Facebook
Best Time to Buy and Sell Stock with Cooldown;https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/;Dynamic Programming,Dynamic Programming;Medium;false;Adobe,Bloomberg,Bloomberg
